engine_id,operating_hour,hours_since_last_overhaul,days_since_last_maintenance,load_percent,rpm,exhaust_gas_temp_c,exhaust_gas_temp_deviation_c,cooling_water_temp_c,lube_oil_pressure_bar,lube_oil_temp_c,fuel_consumption_rate_kg_h,turbocharger_rpm,vibration_mm_s,lube_oil_fe_ppm,lube_oil_cu_ppm,ambient_temp_c,sea_state,fuel_air_ratio,injection_timing_deg_btdc,remaining_useful_life_hours,anomaly_flag,failure_event,failure_within_48h
ENG-13,11,11,0,73.18,869.4,412.8,2.82,79.66,4.22,63.19,206.48,21546.0,2.573,8.14,4.71,31.1,Calm,0.062,21.16,489,0,0,0
ENG-13,12,12,0,73.0,871.2,414.0,1.44,76.33,4.302,65.94,208.01,21212.0,2.462,9.58,4.58,30.3,Calm,0.0606,20.61,488,0,0,0
ENG-13,13,13,0,77.22,878.9,414.6,2.13,75.44,4.125,65.61,201.26,20905.0,2.622,9.28,4.67,31.4,Calm,0.0605,20.27,487,0,0,0
ENG-13,14,14,0,74.66,874.0,415.9,4.18,77.11,4.032,66.79,212.84,20709.0,2.469,8.53,4.6,30.3,Calm,0.0611,21.17,486,0,0,0
ENG-13,15,15,0,78.62,860.0,404.9,3.22,79.21,4.136,66.55,199.61,21303.0,2.653,9.16,4.27,32.3,Calm,0.0598,20.74,485,0,0,0
ENG-13,16,16,0,76.9,873.1,410.9,5.2,78.25,4.046,65.96,213.87,21366.0,2.622,9.0,4.45,32.0,Calm,0.0605,20.78,484,0,0,0
ENG-13,17,17,0,77.71,885.0,405.0,2.2,79.01,4.222,64.56,209.64,21137.0,2.468,9.07,4.72,31.8,Calm,0.0649,20.53,483,0,0,0
ENG-13,18,18,0,78.15,883.5,412.6,0.07,75.31,4.07,65.5,203.78,21253.0,2.507,8.9,4.26,30.9,Calm,0.0622,20.3,482,0,0,0
ENG-13,19,19,0,76.27,862.0,409.1,2.93,78.06,4.141,67.55,207.67,20868.0,2.486,9.34,4.91,31.3,Calm,0.0592,20.44,481,0,0,0
ENG-13,20,20,0,77.82,876.0,416.4,6.05,75.91,4.002,64.72,204.71,21439.0,2.552,9.62,4.41,30.3,Calm,0.0594,21.07,480,0,0,0
ENG-13,21,21,0,73.4,875.9,410.5,5.05,78.89,4.081,65.49,208.28,21095.0,2.472,9.61,4.31,30.9,Calm,0.0603,20.43,479,0,0,0
ENG-13,22,22,0,76.56,883.3,405.7,4.03,78.78,4.129,66.93,202.71,21333.0,2.487,9.32,4.58,31.5,Calm,0.0641,21.16,478,0,0,0
ENG-13,23,23,0,73.64,861.8,407.0,7.24,75.22,4.166,65.6,205.66,21692.0,2.659,9.3,4.63,30.5,Calm,0.0632,21.13,477,0,0,0
ENG-13,24,24,1,76.8,881.1,410.6,3.49,76.83,4.022,64.66,211.04,20628.0,2.64,8.51,4.26,28.9,Calm,0.0627,20.21,476,0,0,0
ENG-13,25,25,1,81.22,859.1,407.2,3.52,75.59,4.054,64.66,212.94,21310.0,2.465,8.77,4.38,29.7,Calm,0.0621,20.63,475,0,0,0
ENG-13,26,26,1,77.58,870.3,419.3,4.27,77.59,3.986,67.21,208.87,20923.0,2.74,8.09,4.85,30.9,Calm,0.0573,21.4,474,0,0,0
ENG-13,27,27,1,75.56,871.2,400.9,0.99,79.26,4.192,63.2,206.29,20958.0,2.502,9.29,4.32,31.5,Calm,0.0614,21.15,473,0,0,0
ENG-13,28,28,1,74.62,874.7,406.0,0.71,78.77,4.063,66.39,202.35,21366.0,2.602,8.87,4.29,29.7,Calm,0.0588,20.08,472,0,0,0
ENG-13,29,29,1,71.91,900.1,407.9,0.97,75.91,4.159,65.16,207.08,21236.0,2.854,9.34,4.49,30.0,Calm,0.0628,20.87,471,0,0,0
ENG-13,30,30,1,75.94,870.2,407.9,4.41,76.28,4.048,68.94,205.04,21459.0,2.715,8.45,4.29,28.0,Calm,0.0629,21.39,470,0,0,0
ENG-13,31,31,1,77.42,881.1,409.7,2.55,77.67,4.157,67.61,202.46,20961.0,2.643,8.06,4.81,31.4,Calm,0.0608,20.92,469,0,0,0
ENG-13,32,32,1,74.61,860.2,416.8,3.04,72.81,4.086,66.3,210.93,21600.0,2.888,8.36,4.54,32.5,Calm,0.0594,20.69,468,0,0,0
ENG-13,33,33,1,77.32,876.1,411.3,0.7,79.09,3.868,65.15,211.65,21322.0,2.541,9.57,4.75,31.8,Calm,0.0619,21.3,467,0,0,0
ENG-13,34,34,1,74.46,869.1,403.6,1.9,76.95,3.999,67.16,210.52,21351.0,2.594,9.39,4.5,32.7,Calm,0.0597,21.07,466,0,0,0
ENG-13,35,35,1,77.82,867.3,407.9,2.79,80.26,4.2,66.6,198.94,21107.0,2.726,9.07,4.57,29.4,Calm,0.0613,20.88,465,0,0,0
ENG-13,36,36,1,77.21,890.4,407.0,1.88,78.97,4.126,66.51,205.39,21002.0,2.481,8.33,4.61,31.5,Calm,0.0617,20.57,464,0,0,0
ENG-13,37,37,1,73.41,871.2,410.0,4.34,78.5,4.014,65.22,200.34,21807.0,2.528,9.55,5.12,29.2,Calm,0.0581,20.33,463,0,0,0
ENG-13,38,38,1,77.4,877.8,408.2,1.91,75.59,3.947,62.51,212.42,20714.0,2.505,8.02,4.99,31.3,Calm,0.0595,21.35,462,0,0,0
ENG-13,39,39,1,72.01,886.6,405.9,2.63,78.61,4.284,64.59,201.72,20957.0,2.506,8.12,4.48,31.8,Calm,0.0618,20.93,461,0,0,0
ENG-13,40,40,1,75.38,859.5,402.7,0.84,78.13,3.991,64.27,202.99,21245.0,2.756,8.56,4.61,33.1,Calm,0.0602,20.99,460,0,0,0
ENG-13,41,41,1,72.82,871.7,406.7,2.21,78.12,4.17,67.96,201.69,21308.0,2.466,9.56,4.69,29.4,Calm,0.0634,21.38,459,0,0,0
ENG-13,42,42,1,76.92,872.7,405.2,5.15,76.29,3.915,66.59,201.4,20963.0,2.544,8.01,4.61,30.0,Calm,0.0616,20.55,458,0,0,0
ENG-13,43,43,1,72.43,881.1,412.5,0.92,76.25,4.327,63.67,209.95,21233.0,2.586,8.0,4.38,31.3,Calm,0.064,21.06,457,0,0,0
ENG-13,44,44,1,80.25,879.2,405.9,3.14,75.66,4.065,65.88,207.8,21129.0,2.543,9.32,4.52,30.7,Calm,0.0648,20.65,456,0,0,0
ENG-13,45,45,1,77.24,878.0,410.4,1.54,77.25,4.153,65.26,201.99,20963.0,2.616,8.94,4.54,30.0,Calm,0.0601,20.54,455,0,0,0
ENG-13,46,46,1,73.93,877.7,407.9,5.68,76.26,4.261,67.24,203.82,21119.0,2.972,8.27,5.1,32.9,Calm,0.0627,20.87,454,0,0,0
ENG-13,47,47,1,76.92,876.0,406.2,3.74,77.85,4.09,65.2,211.13,21155.0,2.477,8.02,4.46,30.8,Calm,0.0642,20.75,453,0,0,0
ENG-13,48,48,2,78.52,870.6,410.9,3.63,76.74,3.951,64.48,210.97,21120.0,2.564,8.41,4.79,30.7,Calm,0.0642,21.1,452,0,0,0
ENG-13,49,49,2,76.85,888.0,409.1,6.2,78.22,3.886,66.87,199.76,21066.0,2.67,10.28,4.81,32.7,Calm,0.0612,20.63,451,0,0,0
ENG-13,50,50,2,74.55,879.0,416.4,2.65,78.33,4.051,65.94,204.46,20902.0,2.671,8.15,4.49,30.2,Calm,0.0595,21.17,450,0,0,0
ENG-13,51,51,2,74.11,884.8,411.7,0.01,77.24,4.115,67.13,209.96,20947.0,2.806,8.07,4.76,31.3,Calm,0.0579,21.1,449,0,0,0
ENG-13,52,52,2,73.8,865.9,406.1,1.16,79.45,3.833,67.26,214.77,20747.0,2.615,8.26,4.24,31.3,Calm,0.0597,20.46,448,0,0,0
ENG-13,53,53,2,79.76,884.6,411.1,3.86,74.5,4.052,66.01,207.99,21122.0,2.756,7.98,4.34,29.8,Calm,0.0637,20.92,447,0,0,0
ENG-13,54,54,2,78.06,866.5,411.5,1.47,78.32,4.075,66.21,208.29,20919.0,2.617,9.3,4.65,29.2,Calm,0.0637,20.63,446,0,0,0
ENG-13,55,55,2,75.44,883.1,413.1,1.84,78.29,4.07,67.11,204.0,21645.0,2.638,8.38,4.36,30.8,Calm,0.0633,20.79,445,0,0,0
ENG-13,56,56,2,76.49,876.6,408.7,1.83,78.17,3.944,64.98,204.98,21533.0,2.492,9.58,4.38,31.8,Calm,0.0581,21.07,444,0,0,0
ENG-13,57,57,2,76.42,882.5,412.9,3.8,75.5,4.018,65.94,203.29,20913.0,2.537,9.34,4.93,30.9,Calm,0.0626,21.18,443,0,0,0
ENG-13,58,58,2,75.3,877.5,407.7,4.73,76.5,3.987,65.48,204.5,20980.0,2.545,9.54,4.66,31.3,Calm,0.0627,21.64,442,0,0,0
ENG-13,59,59,2,81.91,871.7,403.3,1.59,76.86,4.176,63.13,210.03,21051.0,2.555,9.39,4.24,29.7,Calm,0.0623,20.88,441,0,0,0
ENG-13,60,60,2,73.69,872.2,417.3,1.1,78.29,4.0,65.49,209.37,20970.0,2.897,8.0,4.55,31.5,Calm,0.0589,20.85,440,0,0,0
ENG-13,61,61,2,74.52,871.5,411.0,3.39,76.32,4.069,64.61,206.07,21209.0,2.53,8.13,4.44,32.4,Calm,0.0613,20.06,439,0,0,0
ENG-13,62,62,2,77.12,886.5,411.4,3.44,77.0,4.132,65.49,209.79,20828.0,2.592,7.97,4.2,31.6,Calm,0.0621,20.71,438,0,0,0
ENG-13,63,63,2,76.55,867.7,415.1,3.21,79.2,4.052,66.47,207.52,21277.0,2.679,9.65,4.46,30.8,Calm,0.0625,20.88,437,0,0,0
ENG-13,64,64,2,72.85,889.0,404.6,0.82,77.96,4.22,66.36,201.23,21101.0,2.496,8.56,4.24,30.4,Calm,0.0602,20.89,436,0,0,0
ENG-13,65,65,2,80.87,862.6,406.4,4.0,75.46,4.097,66.48,198.26,21145.0,2.868,8.42,4.47,31.3,Calm,0.0635,20.6,435,0,0,0
ENG-13,66,66,2,75.97,870.6,405.7,1.56,76.57,4.105,66.54,205.79,20800.0,2.562,8.81,4.73,33.3,Calm,0.0616,20.7,434,0,0,0
ENG-13,67,67,2,78.6,878.9,421.5,3.93,74.92,4.125,67.63,209.8,20752.0,2.475,9.38,4.77,32.6,Calm,0.0615,21.27,433,0,0,0
ENG-13,68,68,2,77.51,880.6,407.5,3.04,77.71,3.905,64.62,203.86,21453.0,2.481,9.26,4.85,31.4,Calm,0.0661,20.37,432,0,0,0
ENG-13,69,69,2,76.75,876.7,415.7,1.02,75.28,4.09,64.91,211.87,20815.0,2.72,8.61,5.13,29.7,Calm,0.0605,20.83,431,0,0,0
ENG-13,70,70,2,75.74,872.2,410.4,3.72,80.51,4.041,64.68,203.77,20901.0,2.665,8.42,4.88,31.9,Calm,0.0564,21.05,430,0,0,0
ENG-13,71,71,2,74.7,862.9,415.3,6.48,78.78,4.075,70.29,197.34,20998.0,2.689,8.87,4.19,29.9,Calm,0.0625,20.75,429,0,0,0
ENG-13,72,72,3,78.23,886.9,403.3,1.1,76.49,4.133,65.31,204.31,21725.0,2.565,8.72,4.67,29.2,Calm,0.0635,20.64,428,0,0,0
ENG-13,73,73,3,79.85,877.4,404.3,2.56,76.53,4.094,65.81,216.93,21157.0,2.555,8.18,5.36,30.0,Calm,0.0601,20.88,427,0,0,0
ENG-13,74,74,3,77.02,883.1,409.8,1.15,76.95,3.958,66.51,200.3,21367.0,2.641,8.79,4.32,29.3,Calm,0.0614,20.88,426,0,0,0
ENG-13,75,75,3,77.86,871.4,405.1,7.88,76.0,4.192,67.67,196.13,21264.0,2.65,9.23,4.18,28.9,Calm,0.0601,20.86,425,0,0,0
ENG-13,76,76,3,73.68,868.2,406.4,1.72,78.02,4.245,66.02,205.84,21108.0,2.739,9.34,4.81,30.7,Calm,0.0627,20.6,424,0,0,0
ENG-13,77,77,3,78.35,870.6,411.4,4.23,79.18,3.979,66.84,209.65,20795.0,2.718,9.27,4.2,30.6,Calm,0.0597,20.52,423,0,0,0
ENG-13,78,78,3,75.28,870.1,405.1,3.24,81.23,4.15,66.27,209.54,21225.0,2.747,8.71,4.25,30.1,Calm,0.0627,20.63,422,0,0,0
ENG-13,79,79,3,72.71,875.9,404.3,0.39,74.32,4.004,67.4,213.19,20947.0,2.515,8.38,5.16,33.3,Calm,0.0603,20.59,421,0,0,0
ENG-13,80,80,3,73.77,881.1,410.0,1.33,76.47,3.891,66.24,209.51,20965.0,2.858,8.49,4.33,31.8,Calm,0.0618,20.72,420,0,0,0
ENG-13,81,81,3,74.54,872.5,408.0,2.24,78.81,3.881,64.05,204.92,21071.0,2.569,8.13,5.07,30.4,Calm,0.0608,20.83,419,0,0,0
ENG-13,82,82,3,72.55,875.5,408.8,4.04,75.43,4.018,67.36,208.9,21160.0,2.912,8.63,4.67,32.7,Calm,0.0586,20.49,418,0,0,0
ENG-13,83,83,3,77.79,877.2,411.4,1.15,78.13,3.943,68.43,205.29,20862.0,2.553,8.66,4.66,30.6,Calm,0.0614,20.88,417,0,0,0
ENG-13,84,84,3,74.3,873.8,414.1,2.8,77.54,4.042,66.47,212.08,21174.0,2.742,7.98,4.31,30.5,Calm,0.0604,20.76,416,0,0,0
ENG-13,85,85,3,77.32,885.6,409.4,3.72,77.9,4.222,68.24,207.64,20891.0,2.631,8.12,4.58,32.7,Calm,0.0611,20.36,415,0,0,0
ENG-13,86,86,3,78.44,879.7,416.3,2.26,79.11,3.998,65.8,208.01,20981.0,2.702,9.11,4.41,30.5,Calm,0.0631,20.56,414,0,0,0
ENG-13,87,87,3,70.09,882.8,411.8,3.75,77.43,4.291,64.5,206.36,20962.0,2.697,8.48,4.29,30.6,Calm,0.0596,20.8,413,0,0,0
ENG-13,88,88,3,76.04,871.6,419.6,4.18,79.15,4.199,68.73,213.37,21212.0,2.665,8.39,4.21,30.5,Calm,0.0592,20.65,412,0,0,0
ENG-13,89,89,3,80.64,866.8,410.6,3.22,75.12,4.092,66.14,204.77,21153.0,2.635,10.04,4.86,32.7,Calm,0.061,20.67,411,0,0,0
ENG-13,90,90,3,73.06,869.8,413.2,4.24,79.5,4.111,64.57,210.79,21087.0,2.651,9.61,4.19,31.5,Calm,0.0622,20.58,410,0,0,0
ENG-13,91,91,3,77.22,864.9,412.8,6.9,75.95,3.972,65.77,210.29,21000.0,2.511,9.24,4.47,29.7,Calm,0.061,21.06,409,0,0,0
ENG-13,92,92,3,76.97,869.6,406.7,1.97,75.7,3.982,67.26,207.57,21416.0,3.024,8.58,4.35,31.5,Calm,0.0598,20.86,408,0,0,0
ENG-13,93,93,3,75.49,873.4,418.1,0.99,78.43,4.114,64.49,208.23,21098.0,2.477,9.22,4.84,31.6,Calm,0.0595,21.01,407,0,0,0
ENG-13,94,94,3,71.69,865.9,409.2,2.12,77.47,4.15,63.16,205.83,21490.0,2.937,9.37,4.68,30.9,Calm,0.062,20.64,406,0,0,0
ENG-13,95,95,3,78.37,872.1,405.3,4.28,77.29,4.019,69.19,202.8,21315.0,2.646,8.33,4.99,29.9,Calm,0.0623,20.95,405,0,0,0
ENG-13,96,96,4,72.59,869.6,409.5,2.38,76.71,4.072,65.37,208.2,21068.0,2.729,8.11,4.27,32.1,Calm,0.0581,20.47,404,0,0,0
ENG-13,97,97,4,72.77,876.3,411.3,1.57,77.28,4.013,64.24,200.4,20793.0,2.504,9.52,4.41,31.3,Calm,0.0624,21.21,403,0,0,0
ENG-13,98,98,4,73.96,872.7,409.7,3.26,77.44,4.084,65.29,205.45,21012.0,2.564,8.23,4.58,32.4,Calm,0.0619,20.73,402,0,0,0
ENG-13,99,99,4,74.4,878.8,409.2,2.04,76.8,4.144,66.27,206.02,21229.0,2.882,8.59,4.2,30.4,Calm,0.0623,20.58,401,0,0,0
ENG-13,100,100,4,72.58,874.4,410.9,2.57,79.98,4.041,66.26,214.55,20820.0,2.963,8.93,4.33,30.5,Calm,0.0573,20.59,400,0,0,0
ENG-13,101,101,4,80.25,874.3,413.1,5.35,77.79,4.146,68.6,203.7,21475.0,2.471,8.38,4.24,31.0,Calm,0.0603,20.49,399,0,0,0
ENG-13,102,102,4,77.34,866.7,408.7,0.5,75.65,3.964,64.54,209.64,20911.0,2.793,8.83,4.32,29.2,Calm,0.0592,20.8,398,0,0,0
ENG-13,103,103,4,74.21,882.9,413.9,0.48,75.52,4.015,67.31,209.37,20859.0,2.547,8.07,4.55,32.3,Calm,0.0614,20.84,397,0,0,0
ENG-13,104,104,4,74.13,870.2,410.6,1.26,75.31,4.142,67.32,203.75,20937.0,2.579,8.15,4.48,31.7,Calm,0.0652,20.37,396,0,0,0
ENG-13,105,105,4,77.11,875.1,404.0,0.89,79.1,3.971,65.7,205.04,21227.0,2.54,7.96,4.7,30.7,Calm,0.0598,20.78,395,0,0,0
ENG-13,106,106,4,78.1,888.7,415.9,4.99,77.56,4.172,67.1,205.04,21264.0,2.492,8.59,4.36,31.4,Calm,0.0599,20.68,394,0,0,0
ENG-13,107,107,4,73.83,869.7,412.0,6.26,78.86,4.081,66.91,202.05,21189.0,2.72,7.99,5.21,30.9,Calm,0.0643,20.68,393,0,0,0
ENG-13,108,108,4,77.03,888.3,408.0,3.72,81.82,4.229,63.57,206.51,20713.0,2.673,10.12,4.61,30.7,Calm,0.0603,20.68,392,0,0,0
ENG-13,109,109,4,79.05,875.0,407.8,1.33,79.73,4.103,66.03,197.14,21156.0,2.577,10.22,4.49,31.3,Calm,0.0621,20.92,391,0,0,0
ENG-13,110,110,4,72.33,879.1,414.8,1.49,78.51,4.124,69.19,210.26,21294.0,2.464,8.03,4.31,32.8,Calm,0.0619,21.06,390,0,0,0
ENG-13,111,111,4,76.49,874.0,415.4,3.96,78.36,4.171,64.78,206.11,20914.0,2.574,8.47,4.57,32.4,Calm,0.0618,20.93,389,0,0,0
ENG-13,112,112,4,77.89,891.0,414.1,2.12,80.55,4.153,67.8,216.16,21275.0,2.462,8.15,4.41,30.8,Calm,0.0569,21.07,388,0,0,0
ENG-13,113,113,4,75.67,867.0,412.4,6.5,77.5,3.959,66.65,201.2,21072.0,2.584,9.03,4.63,30.6,Calm,0.0627,20.48,387,0,0,0
ENG-13,114,114,4,69.01,873.5,411.5,4.24,76.03,4.206,66.51,208.6,21471.0,2.584,8.32,4.57,30.5,Calm,0.0586,21.07,386,0,0,0
ENG-13,115,115,4,79.69,873.0,413.3,5.27,76.89,4.081,65.97,201.64,21145.0,2.517,8.5,4.7,31.6,Calm,0.0606,20.84,385,0,0,0
ENG-13,116,116,4,72.61,881.2,413.3,4.62,77.64,4.01,67.13,212.86,21153.0,2.549,8.99,4.45,29.8,Calm,0.0591,20.89,384,0,0,0
ENG-13,117,117,4,78.14,872.5,413.3,3.56,79.1,4.115,67.37,206.26,21056.0,2.713,8.14,4.27,30.4,Calm,0.0625,21.25,383,0,0,0
ENG-13,118,118,4,72.19,867.6,408.3,7.19,75.81,3.917,63.96,201.53,20437.0,2.55,8.71,5.1,30.1,Calm,0.0608,20.96,382,0,0,0
ENG-13,119,119,4,75.5,883.3,411.0,2.92,78.9,4.232,64.81,202.59,21127.0,2.579,8.68,4.81,32.5,Calm,0.0602,20.82,381,0,0,0
ENG-13,120,120,5,80.02,876.9,409.5,1.68,78.9,3.98,63.39,194.08,21202.0,2.475,8.82,4.91,30.9,Calm,0.062,20.73,380,0,0,0
ENG-13,121,121,5,78.34,881.3,409.8,0.91,77.35,4.249,64.94,205.46,21225.0,2.64,8.44,4.45,30.1,Calm,0.0605,20.55,379,0,0,0
ENG-13,122,122,5,80.35,867.8,409.0,1.91,76.32,4.049,66.17,210.8,20714.0,2.55,9.01,5.13,30.0,Calm,0.0573,21.13,378,0,0,0
ENG-13,123,123,5,80.14,878.0,412.6,3.61,78.17,4.04,67.5,202.86,21504.0,2.597,10.76,4.46,32.2,Calm,0.0608,20.65,377,0,0,0
ENG-13,124,124,5,72.93,859.9,409.1,2.76,75.54,4.079,64.9,203.67,20715.0,2.628,10.26,5.41,31.7,Calm,0.0581,20.71,376,0,0,0
ENG-13,125,125,5,72.7,880.0,412.2,3.32,76.62,4.001,66.27,209.04,21512.0,2.599,8.51,4.73,30.8,Calm,0.0611,20.85,375,0,0,0
ENG-13,126,126,5,75.11,871.0,411.1,1.79,78.39,3.89,65.96,209.33,21189.0,2.464,8.28,4.4,31.9,Calm,0.0639,20.7,374,0,0,0
ENG-13,127,127,5,78.6,867.7,411.9,0.54,78.13,4.098,68.83,198.49,21572.0,2.632,8.86,4.23,31.2,Calm,0.0584,20.88,373,0,0,0
ENG-13,128,128,5,78.29,883.9,412.6,3.28,77.53,3.92,65.84,202.87,21176.0,2.701,8.8,5.17,31.3,Calm,0.0595,20.8,372,0,0,0
ENG-13,129,129,5,73.33,875.8,415.1,4.83,78.31,4.03,67.89,199.5,21150.0,2.548,8.18,4.17,30.8,Calm,0.06,21.14,371,0,0,0
ENG-13,130,130,5,74.67,883.3,411.6,5.75,80.09,3.969,66.63,202.55,21026.0,2.801,8.22,4.99,32.0,Calm,0.0603,20.94,370,0,0,0
ENG-13,131,131,5,74.61,868.3,412.0,2.88,77.57,3.976,66.37,203.25,20823.0,2.489,8.13,4.3,32.9,Calm,0.0626,20.6,369,0,0,0
ENG-13,132,132,5,71.74,879.4,411.5,0.95,80.29,4.092,62.31,204.8,20928.0,2.59,8.17,4.54,30.6,Calm,0.0634,20.76,368,0,0,0
ENG-13,133,133,5,75.03,865.2,409.1,0.33,75.27,4.135,66.94,204.4,20961.0,2.62,9.22,4.48,32.0,Calm,0.0645,20.5,367,0,0,0
ENG-13,134,134,5,75.25,879.1,413.1,4.05,78.89,4.059,66.19,210.35,21080.0,2.645,8.98,4.33,29.7,Calm,0.0553,20.8,366,0,0,0
ENG-13,135,135,5,74.54,867.0,413.7,5.51,77.26,3.922,65.35,207.31,21402.0,2.569,8.31,4.34,31.5,Calm,0.06,20.61,365,0,0,0
ENG-13,136,136,5,80.66,893.8,418.8,1.23,75.74,4.075,66.78,210.44,20692.0,2.471,8.33,4.25,31.2,Calm,0.0612,20.96,364,0,0,0
ENG-13,137,137,5,72.14,882.4,409.3,0.75,79.8,4.14,67.47,207.62,20364.0,2.544,9.43,4.4,30.9,Calm,0.0583,21.36,363,0,0,0
ENG-13,138,138,5,75.54,868.6,408.8,3.61,78.41,4.037,63.92,211.02,20922.0,2.476,8.83,4.6,30.5,Calm,0.0583,20.98,362,0,0,0
ENG-13,139,139,5,74.8,873.1,409.9,6.53,79.62,3.964,65.76,204.77,21054.0,2.497,9.28,4.36,32.4,Calm,0.0596,20.72,361,0,0,0
ENG-13,140,140,5,76.14,868.9,405.7,3.68,81.38,4.051,66.73,200.38,21639.0,2.798,9.5,4.3,29.7,Calm,0.0605,20.56,360,0,0,0
ENG-13,141,141,5,75.07,881.4,404.7,2.79,79.57,4.166,66.92,210.2,20898.0,2.585,8.81,4.39,30.6,Calm,0.0593,20.63,359,0,0,0
ENG-13,142,142,5,77.13,870.5,406.0,1.79,78.6,3.988,67.5,213.57,20808.0,2.821,10.67,4.62,30.5,Calm,0.0584,20.77,358,0,0,0
ENG-13,143,143,5,70.37,861.8,410.9,1.43,77.67,3.941,66.47,210.07,20790.0,2.582,8.42,4.96,32.4,Calm,0.0624,20.94,357,0,0,0
ENG-13,144,144,6,78.34,881.8,414.8,0.71,75.42,4.153,64.29,202.96,21453.0,2.593,8.42,4.45,30.9,Calm,0.0618,21.01,356,0,0,0
ENG-13,145,145,6,70.81,863.3,406.6,0.77,80.36,4.065,65.27,200.58,21053.0,2.803,8.1,4.81,30.5,Calm,0.0576,20.85,355,0,0,0
ENG-13,146,146,6,80.31,877.3,412.7,1.81,76.53,4.081,67.02,204.58,21242.0,2.617,9.25,4.46,30.6,Calm,0.0602,21.0,354,0,0,0
ENG-13,147,147,6,73.6,886.5,413.1,3.87,77.59,4.179,66.35,210.44,20938.0,2.527,8.43,5.47,31.2,Calm,0.0588,20.95,353,0,0,0
ENG-13,148,148,6,78.79,877.4,404.7,5.65,75.0,4.083,64.86,207.18,21185.0,2.498,8.29,4.38,33.0,Calm,0.0609,21.07,352,0,0,0
ENG-13,149,149,6,77.92,877.2,410.6,4.06,79.66,4.293,67.23,196.14,20770.0,2.75,9.82,4.42,30.9,Calm,0.0607,20.07,351,0,0,0
ENG-13,150,150,6,79.2,873.2,410.3,3.98,80.38,4.156,67.05,205.36,21223.0,2.542,9.79,4.28,29.8,Calm,0.061,20.72,350,0,0,0
ENG-13,151,151,6,78.46,868.4,416.0,4.31,78.65,4.176,65.57,196.43,21262.0,2.506,8.26,4.71,31.1,Calm,0.0592,20.07,349,0,0,0
ENG-13,152,152,6,74.67,866.5,404.1,1.21,77.82,4.005,63.97,205.59,21330.0,2.708,8.97,4.51,31.1,Calm,0.061,20.81,348,0,0,0
ENG-13,153,153,6,75.46,884.7,406.9,0.47,78.66,4.215,67.57,203.54,21274.0,2.649,9.93,4.21,32.1,Calm,0.058,20.51,347,0,0,0
ENG-13,154,154,6,73.06,862.8,409.1,0.19,76.99,3.767,64.5,202.14,21016.0,2.67,8.15,4.49,30.3,Calm,0.0602,20.93,346,0,0,0
ENG-13,155,155,6,72.7,869.0,415.9,2.71,79.12,3.978,66.32,203.75,20973.0,2.567,8.62,4.25,30.4,Calm,0.0599,20.87,345,0,0,0
ENG-13,156,156,6,70.76,871.7,409.1,4.06,75.16,3.974,65.42,199.02,20930.0,2.475,9.19,4.39,31.2,Calm,0.0608,20.94,344,0,0,0
ENG-13,157,157,6,77.72,871.5,412.0,1.89,77.58,4.124,68.6,199.87,20877.0,2.878,8.18,4.55,30.0,Calm,0.0635,20.88,343,0,0,0
ENG-13,158,158,6,77.19,880.9,423.9,3.85,77.37,4.186,65.16,209.04,21131.0,2.657,10.05,4.25,32.5,Calm,0.059,20.14,342,0,0,0
ENG-13,159,159,6,81.27,892.2,411.2,7.2,78.48,4.021,64.85,215.76,20729.0,2.68,8.23,4.49,30.2,Calm,0.0622,20.87,341,0,0,0
ENG-13,160,160,6,73.4,876.0,414.0,4.38,75.84,4.156,68.5,210.03,20923.0,2.486,8.72,4.31,30.2,Calm,0.0598,20.96,340,0,0,0
ENG-13,161,161,6,74.29,874.6,412.1,2.18,76.59,4.027,66.94,205.63,21177.0,2.639,11.4,4.74,30.1,Calm,0.0569,21.08,339,0,0,0
ENG-13,162,162,6,76.28,888.2,413.2,2.2,74.87,4.2,66.58,204.17,22012.0,2.501,9.05,4.38,31.5,Calm,0.0662,20.88,338,0,0,0
ENG-13,163,163,6,74.29,874.2,410.9,0.49,75.64,4.21,66.11,216.17,21116.0,2.458,8.06,4.91,31.8,Calm,0.0627,20.67,337,0,0,0
ENG-13,164,164,6,78.16,875.9,414.5,2.66,80.91,4.112,64.11,206.04,21680.0,2.512,8.13,4.62,30.7,Calm,0.0577,21.25,336,0,0,0
ENG-13,165,165,6,80.91,872.7,418.1,5.55,78.18,4.191,65.94,208.38,21205.0,2.871,8.23,4.24,30.4,Calm,0.0618,20.3,335,0,0,0
ENG-13,166,166,6,78.92,881.4,407.4,3.37,79.94,4.225,64.51,202.44,21037.0,2.463,8.41,4.69,31.0,Calm,0.0662,20.59,334,0,0,0
ENG-13,167,167,6,74.87,874.4,410.2,1.76,75.51,4.161,65.68,205.28,21141.0,2.727,8.5,5.31,30.0,Calm,0.0621,20.78,333,0,0,0
ENG-13,168,168,7,77.87,874.3,408.8,4.96,78.46,4.157,65.85,210.86,21078.0,2.612,9.86,4.92,31.6,Calm,0.063,21.2,332,0,0,0
ENG-13,169,169,7,72.96,876.1,410.3,0.69,77.1,3.993,64.85,204.05,20352.0,2.625,8.4,4.19,30.6,Calm,0.0625,20.81,331,0,0,0
ENG-13,170,170,7,68.76,875.4,422.3,0.71,75.58,3.887,68.47,205.7,21351.0,2.511,8.45,4.28,29.4,Calm,0.0599,21.17,330,0,0,0
